timestep,robot_id,x,y,yaw
2,khiv8,-0.160647,0.0367889,1.66786
2,khiv9,-0.0679034,0.656072,-2.2241
3,khiv0,-1.22544,-1.28001,2.99921
3,khiv1,0.323315,-0.239632,-0.712938
3,khiv10,0.391755,1.51463,2.02174
3,khiv11,-0.556595,0.888588,-0.791384
3,khiv12,0.502553,-1.966,-1.14742
3,khiv13,1.30485,0.367064,-2.19539
3,khiv14,-1.64565,-1.36296,1.96376
3,khiv15,-0.394462,0.825054,-0.085744
3,khiv16,-1.97705,-0.0338486,-2.30531
3,khiv17,-0.58437,1.98193,-0.214133
3,khiv18,-1.68715,-1.64008,-0.497712
3,khiv19,-0.602756,-0.0243107,-2.44588
3,khiv2,0.552442,-0.0994701,-0.883135
3,khiv20,-1.61164,-0.625151,2.37274
3,khiv21,0.882809,-0.827001,1.34218
3,khiv22,1.8469,-1.84324,-0.669068
3,khiv23,-0.334903,-1.60858,-0.997993
3,khiv24,-1.5173,-1.9339,-1.85102
3,khiv25,-1.89621,-1.83219,1.67271
3,khiv26,-0.830689,-0.381567,0.33193
3,khiv27,0.130023,0.280344,2.46627
3,khiv28,-0.282049,-0.534216,0.586127
3,khiv29,1.54711,1.60204,0.12675
3,khiv3,0.94602,1.99516,-3.09635
3,khiv4,-0.57897,-1.80833,-1.81315
3,khiv5,0.277512,-0.78585,1.11464
3,khiv6,-1.60553,0.470495,2.80962
3,khiv7,-1.72284,0.714055,-2.59719
3,khiv8,-0.161166,0.0417609,1.59195
3,khiv9,-0.0715741,0.651327,-2.16717
4,khiv0,-1.23039,-1.27934,2.92331
4,khiv1,0.327797,-0.243466,-0.669294
4,khiv10,0.389543,1.51911,1.94584
4,khiv11,-0.552397,0.884302,-0.734458
4,khiv12,0.504642,-1.97054,-1.22332
4,khiv13,1.30142,0.362261,-2.15174
4,khiv14,-1.6476,-1.35835,1.88786
4,khiv15,-0.389478,0.824663,-0.161645
4,khiv16,-1.98037,-0.0375837,-2.38122
4,khiv17,-0.578515,1.98063,-0.157207
4,khiv18,-1.68274,-1.64243,-0.573613
4,khiv19,-0.606568,-0.0275435,-2.52178
4,khiv2,0.556223,-0.104127,-0.826209
4,khiv20,-1.61526,-0.621703,2.29684
4,khiv21,0.884202,-0.821166,1.3991
4,khiv22,1.85084,-1.84631,-0.744969
4,khiv23,-0.332162,-1.61276,-1.07389
4,khiv24,-1.51865,-1.93871,-1.92692
4,khiv25,-1.89685,-1.82633,1.71635
4,khiv26,-0.825006,-0.379644,0.388856
4,khiv27,0.125356,0.284115,2.52319
4,khiv28,-0.277786,-0.531417,0.523509
4,khiv29,1.55206,1.60271,0.0508485
4,khiv3,0.940025,1.99492,-3.03943
4,khiv4,-0.580133,-1.81319,-1.88905
4,khiv5,0.280186,-0.780479,1.17157
4,khiv6,-1.61027,0.472088,2.73372
4,khiv7,-1.72709,0.711434,-2.67309
4,khiv8,-0.161309,0.0467576,1.51605
4,khiv9,-0.0749717,0.646383,-2.11025
5,khiv0,-1.23528,-1.27829,2.84741
5,khiv1,0.33178,-0.246651,-0.731913
5,khiv10,0.387676,1.52375,1.86994
5,khiv11,-0.548635,0.880859,-0.797077
5,khiv12,0.506379,-1.97523,-1.29922
5,khiv13,1.2986,0.358012,-2.21436
5,khiv14,-1.64947,-1.35276,1.9315
5,khiv15,-0.38365,0.823751,-0.118002
5,khiv16,-1.98397,-0.0410562,-2.45712
5,khiv17,-0.572595,1.97965,-0.100281
5,khiv18,-1.67852,-1.64511,-0.649514
5,khiv19,-0.611348,-0.0310007,-2.47814
5,khiv2,0.560264,-0.108562,-0.769283
5,khiv20,-1.6186,-0.61799,2.22094
5,khiv21,0.885261,-0.815261,1.45603
5,khiv22,1.85454,-1.84967,-0.820871
5,khiv23,-0.329746,-1.61714,-1.1498
5,khiv24,-1.52036,-1.94341,-2.00283
5,khiv25,-1.8977,-1.82039,1.77328
5,khiv26,-0.819442,-0.377402,0.445782
5,khiv27,0.121221,0.287099,2.46057
5,khiv28,-0.272693,-0.528441,0.567152
5,khiv29,1.55705,1.603,-0.0250528
5,khiv3,0.934054,1.99434,-2.9825
5,khiv4,-0.581661,-1.81795,-1.96495
5,khiv5,0.282549,-0.774965,1.22849
5,khiv6,-1.61487,0.474036,2.65781
5,khiv7,-1.73153,0.709143,-2.74899
5,khiv8,-0.161024,0.0526494,1.5597
5,khiv9,-0.0780825,0.641253,-2.05332
6,khiv0,-1.24007,-1.27688,2.77151
6,khiv1,0.33619,-0.25057,-0.68827
6,khiv10,0.386167,1.52851,1.79404
6,khiv11,-0.54449,0.876661,-0.753433
6,khiv12,0.507757,-1.98004,-1.37512
6,khiv13,1.29509,0.353274,-2.17072
6,khiv14,-1.65157,-1.34714,1.98843
6,khiv15,-0.378589,0.823125,-0.180621
6,khiv16,-1.98781,-0.044246,-2.53302
6,khiv17,-0.56663,1.97902,-0.0433551
6,khiv18,-1.67452,-1.64811,-0.725415
6,khiv19,-0.615381,-0.0341205,-2.54076
6,khiv2,0.563903,-0.112134,-0.831902
6,khiv20,-1.6222,-0.613318,2.26458
6,khiv21,0.885982,-0.809305,1.51295
6,khiv22,1.85798,-1.8533,-0.896772
6,khiv23,-0.327668,-1.62168,-1.2257
6,khiv24,-1.52242,-1.94796,-2.07873
6,khiv25,-1.89869,-1.81539,1.71066
6,khiv26,-0.814015,-0.374846,0.502708
6,khiv27,0.117318,0.290222,2.38467
6,khiv28,-0.268378,-0.525724,0.504534
6,khiv29,1.56205,1.60291,-0.100954
6,khiv3,0.929014,1.99357,-3.04512
6,khiv4,-0.583546,-1.82258,-2.04085
6,khiv5,0.284595,-0.769326,1.28542
6,khiv6,-1.61932,0.476327,2.58191
6,khiv7,-1.73614,0.707196,-2.82489
6,khiv8,-0.160932,0.0586481,1.61662
6,khiv9,-0.0808964,0.635955,-1.9964
7,khiv0,-1.24475,-1.27511,2.69561
7,khiv1,0.340807,-0.254401,-0.631344
7,khiv10,0.385023,1.53338,1.71814
7,khiv11,-0.540789,0.873154,-0.816052
7,khiv12,0.508766,-1.98493,-1.45102
7,khiv13,1.29168,0.348337,-2.11379
7,khiv14,-1.6536,-1.34246,1.92581
7,khiv15,-0.372781,0.822096,-0.136977
7,khiv16,-1.99189,-0.0471347,-2.60892
7,khiv17,-0.560638,1.97873,0.0135709
7,khiv18,-1.67075,-1.65139,-0.801317
7,khiv19,-0.62023,-0.0374812,-2.49712
7,khiv2,0.567899,-0.116473,-0.788259
7,khiv20,-1.62602,-0.608689,2.32151
7,khiv21,0.886363,-0.803318,1.56988
7,khiv22,1.86113,-1.85718,-0.972673
7,khiv23,-0.325942,-1.62637,-1.3016
7,khiv24,-1.52481,-1.95235,-2.15463
7,khiv25,-1.89954,-1.80955,1.7543
7,khiv26,-0.808741,-0.371985,0.559634
7,khiv27,0.113004,0.294245,2.42832
7,khiv28,-0.263229,-0.522845,0.548177
7,khiv29,1.56702,1.60245,-0.176855
7,khiv3,0.923146,1.99297,-3.00148
7,khiv4,-0.585776,-1.82705,-2.11675
7,khiv5,0.286316,-0.763579,1.34234
7,khiv6,-1.62357,0.478949,2.50601
7,khiv7,-1.74088,0.705603,-2.90079
7,khiv8,-0.161131,0.0637434,1.554
7,khiv9,-0.0834043,0.630505,-1.93947
8,khiv0,-1.24927,-1.27299,2.61971
8,khiv1,0.344903,-0.257438,-0.693962
8,khiv10,0.384252,1.53832,1.64223
8,khiv11,-0.536725,0.868878,-0.772409
8,khiv12,0.509401,-1.98989,-1.52693
8,khiv13,1.28902,0.343989,-2.17641
8,khiv14,-1.65568,-1.33694,1.96945
8,khiv15,-0.367733,0.821374,-0.199596
8,khiv16,-1.99618,-0.0497058,-2.68482
8,khiv17,-0.554639,1.97877,0.0704969
8,khiv18,-1.66725,-1.65496,-0.877218
8,khiv19,-0.625041,-0.0410647,-2.44019
8,khiv2,0.571476,-0.120108,-0.850877
8,khiv20,-1.62947,-0.604937,2.25889
8,khiv21,0.886402,-0.797319,1.62681
8,khiv22,1.86397,-1.86129,-1.04857
8,khiv23,-0.324576,-1.63118,-1.3775
8,khiv24,-1.52754,-1.95654,-2.23053
8,khiv25,-1.90045,-1.80453,1.69169
8,khiv26,-0.803639,-0.36883,0.61656
8,khiv27,0.108484,0.29819,2.48524
8,khiv28,-0.258095,-0.519741,0.605103
8,khiv29,1.57195,1.60161,-0.252757
8,khiv3,0.917201,1.99216,-2.94455
8,khiv4,-0.588339,-1.83135,-2.19266
8,khiv5,0.287708,-0.757743,1.39927
8,khiv6,-1.62762,0.481886,2.43011
8,khiv7,-1.74572,0.704374,-2.97669
8,khiv8,-0.161063,0.0696421,1.59765
8,khiv9,-0.0852737,0.625761,-2.00209
9,khiv0,-1.25362,-1.27053,2.5438
9,khiv1,0.349457,-0.261187,-0.650319
9,khiv10,0.383858,1.5433,1.56633
9,khiv11,-0.532446,0.864672,-0.715483
9,khiv12,0.509658,-1.99488,-1.60283
9,khiv13,1.28568,0.339122,-2.13277
9,khiv14,-1.65764,-1.33223,1.90684
9,khiv15,-0.361945,0.820235,-0.155953
9,khiv16,-2.00065,-0.0519445,-2.76072
9,khiv17,-0.548652,1.97916,0.127423
9,khiv18,-1.66402,-1.65878,-0.953119
9,khiv19,-0.628959,-0.0443289,-2.50281
9,khiv2,0.575389,-0.124522,-0.807234
9,khiv20,-1.63324,-0.6004,2.30254
9,khiv21,0.8861,-0.791328,1.68373
9,khiv22,1.8665,-1.86561,-1.12448
9,khiv23,-0.323578,-1.63608,-1.4534
9,khiv24,-1.53057,-1.96051,-2.30643
9,khiv25,-1.90119,-1.79868,1.73533
9,khiv26,-0.798725,-0.365389,0.673486
9,khiv27,0.103752,0.301878,2.54217
9,khiv28,-0.253882,-0.516868,0.542484
9,khiv29,1.5768,1.60039,-0.328658
9,khiv3,0.912194,1.99119,-3.00717
9,khiv4,-0.59122,-1.83543,-2.26856
9,khiv5,0.288766,-0.751838,1.4562
9,khiv6,-1.63143,0.485121,2.35421
9,khiv7,-1.75065,0.703516,-3.05259
9,khiv8,-0.161174,0.0747404,1.53503
9,khiv9,-0.0877114,0.620389,-1.95845
10,khiv0,-1.25778,-1.26774,2.4679
10,khiv1,0.354216,-0.26484,-0.593393
10,khiv10,0.383842,1.5483,1.49043
10,khiv11,-0.527941,0.860711,-0.658557
10,khiv12,0.509536,-1.99988,-1.67873
10,khiv13,1.28247,0.334059,-2.07584
10,khiv14,-1.65961,-1.32668,1.95048
10,khiv15,-0.356022,0.819277,-0.0990267
10,khiv16,-2.00528,-0.0538378,-2.83662
10,khiv17,-0.542697,1.97989,0.184349
10,khiv18,-1.6611,-1.66283,-1.02902
10,khiv19,-0.632953,-0.0473346,-2.57871
10,khiv2,0.579519,-0.128874,-0.750308
10,khiv20,-1.63663,-0.596589,2.23992
10,khiv21,0.885458,-0.785363,1.74066
10,khiv22,1.86869,-1.8701,-1.20038
10,khiv23,-0.322955,-1.64104,-1.5293
10,khiv24,-1.5339,-1.96425,-2.38233
10,khiv25,-1.90215,-1.79276,1.79225
10,khiv26,-0.794015,-0.361674,0.730412
10,khiv27,0.0988185,0.305291,2.59909
10,khiv28,-0.248846,-0.513796,0.586127
10,khiv29,1.58154,1.59882,-0.404559
10,khiv3,0.906353,1.99037,-2.96353
10,khiv4,-0.594403,-1.83928,-2.34446
10,khiv5,0.289486,-0.745882,1.51312
10,khiv6,-1.63498,0.488636,2.27831
10,khiv7,-1.75562,0.703034,-3.12849
10,khiv8,-0.160994,0.0806367,1.57867
10,khiv9,-0.0900035,0.614845,-1.90152
11,khiv0,-1.26171,-1.26466,2.392
11,khiv1,0.358425,-0.26772,-0.656012
11,khiv10,0.384205,1.55328,1.41453
11,khiv11,-0.523217,0.857013,-0.601631
11,khiv12,0.509035,-2.00485,-1.75463
11,khiv13,1.27997,0.329613,-2.13846
11,khiv14,-1.66181,-1.32109,2.0074
11,khiv15,-0.350951,0.818739,-0.161645
11,khiv16,-2.01003,-0.0553749,-2.91252
11,khiv17,-0.537679,1.98079,0.12173
11,khiv18,-1.65849,-1.66709,-1.10492
11,khiv19,-0.637922,-0.0505142,-2.53507
11,khiv2,0.583225,-0.132376,-0.812927
11,khiv20,-1.64031,-0.591981,2.28356
11,khiv21,0.884478,-0.779445,1.79758
11,khiv22,1.87054,-1.87474,-1.27628
11,khiv23,-0.32271,-1.64603,-1.6052
11,khiv24,-1.5375,-1.96771,-2.45823
11,khiv25,-1.90323,-1.78777,1.72964
11,khiv26,-0.789523,-0.357697,0.787338
11,khiv27,0.0944692,0.307953,2.53647
11,khiv28,-0.244583,-0.510997,0.523509
11,khiv29,1.58615,1.59688,-0.480461
11,khiv3,0.901329,1.98949,-3.02614
11,khiv4,-0.597868,-1.84289,-2.42036
11,khiv5,0.289866,-0.739895,1.57005
11,khiv6,-1.63826,0.49241,2.20241
11,khiv7,-1.76062,0.702931,3.07879
11,khiv8,-0.161008,0.0857362,1.51605
11,khiv9,-0.0916915,0.610033,-1.96414
12,khiv0,-1.26539,-1.26128,2.3161
12,khiv1,0.363118,-0.271293,-0.612368
12,khiv10,0.384946,1.55823,1.33863
12,khiv11,-0.518291,0.85359,-0.544705
12,khiv12,0.508158,-2.00977,-1.83053
12,khiv13,1.27682,0.324622,-2.09482
12,khiv14,-1.66394,-1.31646,1.94479
12,khiv15,-0.345124,0.817821,-0.118002
12,khiv16,-2.01489,-0.0565468,-2.98843
12,khiv17,-0.531827,1.98154,0.165374
12,khiv18,-1.6558,-1.67235,-1.06128
12,khiv19,-0.642866,-0.0539125,-2.47814
12,khiv2,0.587303,-0.136639,-0.769283
12,khiv20,-1.64422,-0.587425,2.34049
12,khiv21,0.883162,-0.773591,1.85451
12,khiv22,1.87202,-1.87952,-1.35218
12,khiv23,-0.322844,-1.65103,-1.6811
12,khiv24,-1.54135,-1.9709,-2.53413
12,khiv25,-1.9042,-1.78195,1.77328
12,khiv26,-0.785901,-0.354108,0.724719
12,khiv27,0.0895998,0.311283,2.58012
12,khiv28,-0.240269,-0.508471,0.447608
12,khiv29,1.5906,1.59461,-0.556362
12,khiv3,0.895473,1.98878,-2.9825
12,khiv4,-0.601597,-1.84622,-2.49626
12,khiv5,0.289903,-0.734796,1.50743
12,khiv6,-1.64177,0.497148,2.24605
12,khiv7,-1.76561,0.703207,3.00289
12,khiv8,-0.160717,0.0916281,1.5597
12,khiv9,-0.0939236,0.604573,-1.92049
13,khiv0,-1.26881,-1.25763,2.2402
13,khiv1,0.367276,-0.274246,-0.674987
13,khiv10,0.386059,1.5631,1.26273
13,khiv11,-0.513947,0.850918,-0.607323
13,khiv12,0.506911,-2.01461,-1.90643
13,khiv13,1.27425,0.32022,-2.15743
13,khiv14,-1.66612,-1.31098,1.98843
13,khiv15,-0.340063,0.817194,-0.180621
13,khiv16,-2.01983,-0.0573469,-3.06433
13,khiv17,-0.526793,1.98235,0.102755
13,khiv18,-1.65334,-1.67681,-1.1239
13,khiv19,-0.646904,-0.0570258,-2.54076
13,khiv2,0.590948,-0.140205,-0.831902
13,khiv20,-1.64774,-0.58374,2.27787
13,khiv21,0.881516,-0.767823,1.91144
13,khiv22,1.87315,-1.88439,-1.42808
13,khiv23,-0.323356,-1.656,-1.75701
13,khiv24,-1.54543,-1.97378,-2.61004
13,khiv25,-1.9052,-1.77695,1.71066
13,khiv26,-0.781505,-0.350174,0.768362
13,khiv27,0.0852972,0.31402,2.5175
13,khiv28,-0.234968,-0.505884,0.491251
13,khiv29,1.59487,1.592,-0.632263
13,khiv3,0.890434,1.988,-3.04512
13,khiv4,-0.605568,-1.84925,-2.57216
13,khiv5,0.290246,-0.728907,1.55107
13,khiv6,-1.64494,0.501145,2.18343
13,khiv7,-1.77057,0.70386,2.92699
13,khiv8,-0.160624,0.0976269,1.61662
13,khiv9,-0.0956953,0.599791,-1.98311
14,khiv0,-1.2725,-1.25303,2.28384
14,khiv1,0.371901,-0.277907,-0.631344
14,khiv10,0.387539,1.56788,1.18683
14,khiv11,-0.509085,0.847577,-0.56368
14,khiv12,0.505301,-2.01935,-1.98233
14,khiv13,1.27101,0.31529,-2.11379
14,khiv14,-1.66817,-1.30631,1.92581
14,khiv15,-0.334255,0.816165,-0.136977
14,khiv16,-2.02481,-0.0577705,-3.14023
14,khiv17,-0.520928,1.98299,0.146398
14,khiv18,-1.65076,-1.68212,-1.08025
14,khiv19,-0.651753,-0.0603865,-2.49712
14,khiv2,0.594944,-0.144545,-0.788259
14,khiv20,-1.6516,-0.579275,2.32151
14,khiv21,0.879544,-0.762157,1.96836
14,khiv22,1.87389,-1.88933,-1.50398
14,khiv23,-0.324245,-1.66092,-1.83291
14,khiv24,-1.54972,-1.97635,-2.68594
14,khiv25,-1.90605,-1.77112,1.7543
14,khiv26,-0.777173,-0.346024,0.825288
14,khiv27,0.0804919,0.317442,2.56114
14,khiv28,-0.229666,-0.503077,0.548177
14,khiv29,1.59892,1.58908,-0.708165
14,khiv3,0.884565,1.9874,-3.00148
14,khiv4,-0.609757,-1.85198,-2.64806
14,khiv5,0.290373,-0.723809,1.48845
14,khiv6,-1.64836,0.505953,2.22707
14,khiv7,-1.77546,0.704888,2.85109
14,khiv8,-0.160823,0.102722,1.554
14,khiv9,-0.0980306,0.594374,-1.93947
15,khiv0,-1.27581,-1.24915,2.22122
15,khiv1,0.376729,-0.281469,-0.574418
15,khiv10,0.389376,1.57252,1.11093
15,khiv11,-0.504789,0.844831,-0.626299
15,khiv12,0.503336,-2.02394,-2.05823
15,khiv13,1.26835,0.310938,-2.17641
15,khiv14,-1.67025,-1.30079,1.96945
15,khiv15,-0.329207,0.815443,-0.199596
15,khiv16,-2.02981,-0.0578153,3.06706
15,khiv17,-0.515879,1.98371,0.0837796
15,khiv18,-1.64838,-1.68663,-1.14287
15,khiv19,-0.655845,-0.0634292,-2.55973
15,khiv2,0.598521,-0.148179,-0.850877
15,khiv20,-1.65567,-0.57487,2.37844
15,khiv21,0.877252,-0.756613,2.02529
15,khiv22,1.87427,-1.89432,-1.57988
15,khiv23,-0.325503,-1.66576,-1.90881
15,khiv24,-1.55419,-1.97858,-2.76184
15,khiv25,-1.90712,-1.76521,1.81123
15,khiv26,-0.773689,-0.3423,0.76267
15,khiv27,0.0762421,0.32026,2.49852
15,khiv28,-0.224528,-0.499979,0.605103
15,khiv29,1.60274,1.58585,-0.784066
15,khiv3,0.879512,1.98671,-3.06409
15,khiv4,-0.614141,-1.85438,-2.72396
15,khiv5,0.290827,-0.717928,1.5321
15,khiv6,-1.652,0.510722,2.284
15,khiv7,-1.78026,0.706283,2.77518
15,khiv8,-0.160756,0.108621,1.59765
15,khiv9,-0.0998927,0.589626,-2.00209
16,khiv0,-1.27941,-1.24448,2.26487
16,khiv1,0.380991,-0.284269,-0.637036
16,khiv10,0.39156,1.57702,1.03502
16,khiv11,-0.499991,0.841398,-0.582655
16,khiv12,0.501028,-2.02838,-2.13414
16,khiv13,1.26502,0.30607,-2.13277
16,khiv14,-1.67255,-1.29525,2.02638
16,khiv15,-0.323418,0.814304,-0.155953
16,khiv16,-2.03479,-0.0574808,2.99115
16,khiv17,-0.510004,1.98423,0.127423
16,khiv18,-1.64591,-1.69198,-1.09923
16,khiv19,-0.660756,-0.0666973,-2.51609
16,khiv2,0.602434,-0.152594,-0.807234
16,khiv20,-1.65933,-0.571321,2.31582
16,khiv21,0.87465,-0.751208,2.08221
16,khiv22,1.87426,-1.89931,-1.65579
16,khiv23,-0.327125,-1.67049,-1.98471
16,khiv24,-1.55882,-1.98047,-2.83774
16,khiv25,-1.9083,-1.76025,1.74861
16,khiv26,-0.769445,-0.338202,0.806313
16,khiv27,0.0715026,0.323772,2.54217
16,khiv28,-0.219575,-0.496595,0.662029
16,khiv29,1.60631,1.58235,-0.859967
16,khiv3,0.873633,1.98623,-3.02045
16,khiv4,-0.618695,-1.85644,-2.79987
16,khiv5,0.29105,-0.712833,1.46948
16,khiv6,-1.65531,0.514601,2.22138
16,khiv7,-1.78494,0.708038,2.69928
16,khiv8,-0.160866,0.113719,1.53503
16,khiv9,-0.10233,0.584254,-1.95845
17,khiv0,-1.28265,-1.24054,2.20225
17,khiv1,0.385751,-0.287752,-0.593393
17,khiv10,0.39408,1.58134,0.959122
17,khiv11,-0.494996,0.838075,-0.525729
17,khiv12,0.498391,-2.03262,-2.21004
17,khiv13,1.2618,0.301007,-2.07584
17,khiv14,-1.67476,-1.29065,1.96376
17,khiv15,-0.318385,0.813486,-0.218571
17,khiv16,-2.03974,-0.0567692,2.91525
17,khiv17,-0.50405,1.98497,0.184349
17,khiv18,-1.64361,-1.69654,-1.16185
17,khiv19,-0.664905,-0.0696618,-2.57871
17,khiv2,0.605941,-0.156296,-0.869853
17,khiv20,-1.66336,-0.567006,2.35946
17,khiv21,0.871743,-0.745959,2.13914
17,khiv22,1.87387,-1.9043,-1.73169
17,khiv23,-0.329101,-1.67508,-2.06061
17,khiv24,-1.56358,-1.982,-2.91364
17,khiv25,-1.90937,-1.75445,1.79225
17,khiv26,-0.765897,-0.33454,0.743695
17,khiv27,0.0673069,0.326671,2.47955
17,khiv28,-0.215532,-0.493487,0.59941
17,khiv29,1.6096,1.57859,-0.935869
17,khiv3,0.867675,1.98553,-2.96353
17,khiv4,-0.623392,-1.85815,-2.87577
17,khiv5,0.291616,-0.706961,1.51312
17,khiv6,-1.65891,0.519276,2.26503
17,khiv7,-1.78947,0.710144,2.62338
17,khiv8,-0.160687,0.119615,1.57867
17,khiv9,-0.104622,0.57871,-1.90152
18,khiv0,-1.28616,-1.2358,2.24589
18,khiv1,0.389964,-0.290626,-0.656012
18,khiv10,0.396919,1.58545,0.883221
18,khiv11,-0.489824,0.835035,-0.468803
18,khiv12,0.495439,-2.03666,-2.28594
18,khiv13,1.2593,0.296561,-2.13846
18,khiv14,-1.67705,-1.28522,2.0074
18,khiv15,-0.31262,0.812238,-0.174928
18,khiv16,-2.04462,-0.0556844,2.83935
18,khiv17,-0.499031,1.98587,0.12173
18,khiv18,-1.6416,-1.70111,-1.23775
18,khiv19,-0.669878,-0.0728362,-2.53507
18,khiv2,0.60977,-0.160784,-0.826209
18,khiv20,-1.66695,-0.563394,2.29684
18,khiv21,0.868543,-0.740885,2.19607
18,khiv22,1.87311,-1.90924,-1.80759
18,khiv23,-0.331419,-1.67951,-2.13651
18,khiv24,-1.56844,-1.98317,-2.98954
18,khiv25,-1.91047,-1.74947,1.72964
18,khiv26,-0.761576,-0.330523,0.787338
18,khiv27,0.0626349,0.330273,2.52319
18,khiv28,-0.210679,-0.490134,0.643053
18,khiv29,1.6126,1.57458,-1.01177
18,khiv3,0.86265,1.98466,-3.02614
18,khiv4,-0.628205,-1.8595,-2.95167
18,khiv5,0.291987,-0.700973,1.57005
18,khiv6,-1.66272,0.523903,2.32195
18,khiv7,-1.79383,0.712587,2.54748
18,khiv8,-0.160708,0.125615,1.6356
18,khiv9,-0.106311,0.573898,-1.96414
19,khiv0,-1.28933,-1.2318,2.18327
19,khiv1,0.394658,-0.294199,-0.612368
19,khiv10,0.400062,1.58934,0.80732
19,khiv11,-0.484488,0.832294,-0.411877
19,khiv12,0.49219,-2.04046,-2.36184
19,khiv13,1.25616,0.291571,-2.09482
19,khiv14,-1.67918,-1.28058,1.94479
19,khiv15,-0.307602,0.811324,-0.237547
19,khiv16,-2.0494,-0.0542327,2.76345
19,khiv17,-0.493179,1.98662,0.165374
19,khiv18,-1.63963,-1.70667,-1.19411
19,khiv19,-0.674082,-0.0757214,-2.59769
19,khiv2,0.613816,-0.165213,-0.769283
19,khiv20,-1.67089,-0.559003,2.34049
19,khiv21,0.86506,-0.736001,2.25299
19,khiv22,1.87197,-1.91411,-1.88349
19,khiv23,-0.334066,-1.68375,-2.21241
19,khiv24,-1.57338,-1.98396,-3.06544
19,khiv25,-1.91143,-1.74365,1.77328
19,khiv26,-0.757959,-0.326929,0.724719
19,khiv27,0.058495,0.33325,2.46057
19,khiv28,-0.206582,-0.487097,0.580435
19,khiv29,1.61528,1.57037,-1.08767
19,khiv3,0.856794,1.98395,-2.9825
19,khiv4,-0.63399,-1.86065,-2.90803
19,khiv5,0.292026,-0.694974,1.62697
19,khiv6,-1.66618,0.527654,2.25933
19,khiv7,-1.798,0.715353,2.47158
19,khiv8,-0.161004,0.130705,1.57298
19,khiv9,-0.108543,0.568438,-1.92049
20,khiv0,-1.29274,-1.22699,2.22692
20,khiv1,0.398816,-0.297152,-0.674987
20,khiv10,0.404113,1.59363,0.850963
20,khiv11,-0.479829,0.830222,-0.474496
20,khiv12,0.488663,-2.044,-2.43774
20,khiv13,1.25358,0.287169,-2.15743
20,khiv14,-1.68137,-1.2751,1.98843
20,khiv15,-0.301862,0.809967,-0.193903
20,khiv16,-2.05406,-0.0524225,2.68755
20,khiv17,-0.488145,1.98743,0.102755
20,khiv18,-1.63778,-1.71143,-1.25672
20,khiv19,-0.679114,-0.0788008,-2.55404
20,khiv2,0.617455,-0.168785,-0.831902
20,khiv20,-1.67505,-0.554677,2.39741
20,khiv21,0.861304,-0.731323,2.30992
20,khiv22,1.87047,-1.91887,-1.95939
20,khiv23,-0.337027,-1.68778,-2.28832
20,khiv24,-1.57836,-1.98438,-3.14134
20,khiv25,-1.91261,-1.73777,1.83021
20,khiv26,-0.753563,-0.322995,0.768362
20,khiv27,0.0545915,0.336373,2.38467
20,khiv28,-0.201666,-0.483836,0.624078
20,khiv29,1.61763,1.56596,-1.16357
20,khiv3,0.851755,1.98316,-3.04512
20,khiv4,-0.639832,-1.86202,-2.8511
20,khiv5,0.291723,-0.688983,1.6839
20,khiv6,-1.66995,0.532189,2.30298
20,khiv7,-1.80194,0.718428,2.39568
20,khiv8,-0.161048,0.136604,1.61662
20,khiv9,-0.110314,0.563656,-1.98311
21,khiv0,-1.29583,-1.22294,2.1643
21,khiv1,0.403441,-0.300813,-0.631344
21,khiv10,0.407495,1.59744,0.788344
21,khiv11,-0.475368,0.827966,-0.550397
21,khiv12,0.484876,-2.04726,-2.51364
21,khiv13,1.25034,0.282239,-2.11379
21,khiv14,-1.68378,-1.26961,2.04536
21,khiv15,-0.29598,0.808785,-0.136977
21,khiv16,-2.05857,-0.0502642,2.61165
21,khiv17,-0.48228,1.98807,0.146398
21,khiv18,-1.63593,-1.71703,-1.21308
21,khiv19,-0.683373,-0.0816058,-2.61666
21,khiv2,0.621451,-0.173124,-0.788259
21,khiv20,-1.67878,-0.551198,2.33479
21,khiv21,0.857288,-0.726867,2.36684
21,khiv22,1.86861,-1.92351,-2.03529
21,khiv23,-0.340286,-1.69157,-2.36422
21,khiv24,-1.58336,-1.98442,3.06594
21,khiv25,-1.91389,-1.73283,1.76759
21,khiv26,-0.749231,-0.318844,0.825288
21,khiv27,0.0509317,0.339778,2.30877
21,khiv28,-0.197513,-0.480877,0.56146
21,khiv29,1.61965,1.56138,-1.23947
21,khiv3,0.845886,1.98257,-3.00148
21,khiv4,-0.644728,-1.86345,-2.91372
21,khiv5,0.29108,-0.683018,1.74083
21,khiv6,-1.67394,0.536668,2.3599
21,khiv7,-1.80564,0.721792,2.31978
21,khiv8,-0.161256,0.1417,1.554
21,khiv9,-0.11265,0.558239,-1.93947
22,khiv0,-1.29916,-1.21806,2.20794
22,khiv1,0.408268,-0.304376,-0.574418
22,khiv10,0.411631,1.60165,0.831988
22,khiv11,-0.47032,0.824913,-0.506754
22,khiv12,0.480854,-2.05023,-2.58954
22,khiv13,1.24769,0.277886,-2.17641
22,khiv14,-1.68608,-1.26506,1.98274
22,khiv15,-0.290933,0.808055,-0.199596
22,khiv16,-2.0629,-0.0477702,2.53575
22,khiv17,-0.477232,1.98878,0.0837796
22,khiv18,-1.63417,-1.72181,-1.2757
22,khiv19,-0.688462,-0.0845892,-2.57302
22,khiv2,0.625028,-0.176759,-0.850877
